day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,0,GIFT_BASKET,71348,19,71347.0,24.0,N/A,N/A,71362,19,71363.0,24.0,N/A,N/A,71355.0,0.0
0,100,GIFT_BASKET,71344,1,71343.0,12.0,71342.0,20.0,71355,1,71356.0,12.0,71357.0,20.0,71349.5,0.0
0,200,GIFT_BASKET,71344,4,71339.0,1.0,71338.0,14.0,71350,1,71351.0,14.0,71352.0,21.0,71347.0,0.0
0,300,GIFT_BASKET,71345,2,71343.0,11.0,71342.0,29.0,71356,2,71357.0,11.0,71358.0,29.0,71350.5,0.0
0,400,GIFT_BASKET,71336,2,71335.0,13.0,71334.0,25.0,71347,2,71348.0,13.0,71349.0,25.0,71341.5,0.0
0,500,GIFT_BASKET,71338,2,71337.0,16.0,71336.0,30.0,71349,2,71350.0,16.0,71351.0,30.0,71343.5,0.0
0,600,GIFT_BASKET,71343,2,71342.0,13.0,71341.0,21.0,71354,2,71355.0,13.0,71356.0,21.0,71348.5,0.0
0,700,GIFT_BASKET,71346,5,71340.0,16.0,71339.0,20.0,71353,16,71354.0,20.0,N/A,N/A,71349.5,0.0
0,800,GIFT_BASKET,71343,10,71342.0,30.0,N/A,N/A,71356,10,71357.0,30.0,N/A,N/A,71349.5,0.0
0,900,GIFT_BASKET,71341,2,71340.0,20.0,71339.0,26.0,71352,2,71353.0,20.0,71354.0,26.0,71346.5,0.0
0,1000,GIFT_BASKET,71349,2,71348.0,16.0,71347.0,19.0,71360,2,71361.0,16.0,71362.0,19.0,71354.5,0.0
0,1100,GIFT_BASKET,71353,2,71352.0,16.0,71351.0,16.0,71364,2,71365.0,16.0,71366.0,16.0,71358.5,0.0
0,1200,GIFT_BASKET,71338,2,71337.0,13.0,71336.0,24.0,71349,2,71350.0,13.0,71352.0,24.0,71343.5,0.0
0,1300,GIFT_BASKET,71349,1,71348.0,14.0,71347.0,29.0,71360,1,71361.0,14.0,71362.0,29.0,71354.5,0.0
0,1400,GIFT_BASKET,71342,2,71341.0,15.0,71340.0,24.0,71353,2,71354.0,15.0,71355.0,24.0,71347.5,0.0
0,1500,GIFT_BASKET,71347,2,71346.0,18.0,71345.0,18.0,71358,2,71359.0,18.0,71360.0,18.0,71352.5,0.0
0,1600,GIFT_BASKET,71351,1,71350.0,10.0,71349.0,25.0,71362,1,71363.0,10.0,71364.0,25.0,71356.5,0.0
0,1700,GIFT_BASKET,71348,20,71347.0,17.0,N/A,N/A,71361,20,71362.0,17.0,N/A,N/A,71354.5,0.0
0,1800,GIFT_BASKET,71362,2,71361.0,12.0,71359.0,23.0,71373,2,71374.0,12.0,71375.0,23.0,71367.5,0.0
0,1900,GIFT_BASKET,71378,7,71373.0,2.0,71372.0,17.0,71384,2,71385.0,17.0,71386.0,19.0,71381.0,0.0
0,2000,GIFT_BASKET,71369,1,71368.0,14.0,71366.0,23.0,71380,1,71381.0,14.0,71382.0,23.0,71374.5,0.0
0,2100,GIFT_BASKET,71349,13,71348.0,29.0,N/A,N/A,71362,13,71363.0,29.0,N/A,N/A,71355.5,0.0
0,2200,GIFT_BASKET,71333,2,71332.0,15.0,71331.0,21.0,71344,2,71345.0,15.0,71346.0,21.0,71338.5,0.0
0,2300,GIFT_BASKET,71335,2,71334.0,18.0,71333.0,24.0,71346,2,71347.0,18.0,71348.0,24.0,71340.5,0.0
0,2400,GIFT_BASKET,71340,2,71339.0,13.0,71337.0,21.0,71351,2,71352.0,13.0,71353.0,21.0,71345.5,0.0
0,2500,GIFT_BASKET,71351,1,71350.0,15.0,71349.0,15.0,71362,1,71363.0,15.0,71364.0,15.0,71356.5,0.0
